datasets	-1284384.1586757156
method	-1290271.3264251868
correct	-1293223.6727982303
annotation	-1294155.3542072037
possible	-1298147.8875545093
problem	-1298790.928480594
data	-1299029.412351107
relevant	-1301579.715174116
multiple	-1301625.507452591
example	-1301781.9653098206
probabilistic	-1302914.2811200782
inference	-1303080.9780102775
another	-1303425.6590559855
encoder	-1303658.2495281296
model	-1304234.4046046464
dataset	-1304240.9548192457
eg	-1304698.262200187
semantically	-1304846.6086330651
abstract	-1305405.793814687
approach	-1305473.1812381307
enable	-1307532.6475086552
define	-1308209.4969094922
semantic	-1308449.7975065284
good	-1308678.2947073812
may	-1310028.3491034636
outperform	-1312635.1706385787
input	-1312755.8384144611
use	-1313843.3632478542
compare	-1314226.9754451048
provide	-1314585.5260643573
set	-1314589.0182886156
general	-1315573.133805228
optimization	-1315970.540668383
way	-1316086.6916315365
process	-1316154.7799936463
probability	-1316284.118130683
address	-1318192.0603263746
computational	-1319174.8196400858
one	-1319456.124040354
new	-1320248.9642523061
equivalent	-1320343.9020831508
case	-1320476.0045941097
aim	-1320567.772032848
performance	-1320716.464651597
introduce	-1321037.5268219907
original	-1321065.8665504195
complementary	-1321211.0123721468
prediction	-1321427.766502258
configuration	-1321596.5380188257
different	-1321798.7058848334
whole	-1322542.4631269563
give	-1322779.26022482
answer	-1323141.858830784
document	-1323588.8333506149
demonstrate	-1323752.1916139412
specify	-1323841.700756803
google	-1324372.7967698127
study	-1324425.293645416
represent	-1324612.2194511625
individual	-1324854.4392176862
objective	-1324864.8207507993
make	-1326753.3690563885
also	-1327178.8762161778
system	-1327179.8156518051
finegrained	-1328536.3280680142
form	-1329111.8645452661
often	-1330005.6664368482
see	-1330182.081231974
hard	-1330198.161302544
alternate	-1331132.3519099322
relative	-1332029.1662590774
previous	-1332317.184984725
assumption	-1332396.9143238924
base	-1333064.0679400912
relate	-1333808.6614118272
sting	-1333979.1743534664
space	-1334472.4242806314
summary	-1334588.9374008595
string	-1334671.418336673
valid	-1335186.3947940755
advantage	-1335644.6554791026
incorrect	-1335782.925348078
research	-1335950.810232843
begin	-1337587.9135373896
et	-1338344.8670811849
work	-1339077.1865603458
interpretation	-1339425.168189636
result	-1339708.7330342722
focus	-1340026.769504147
likelihood	-1340097.8131114207
question	-1340111.3646524707
weak	-1340224.870484433
formulation	-1340341.0523172799
even	-1340929.2089856411
best	-1340983.9198950995
maximum	-1341239.339074653
occurrence	-1341480.5864326414
point	-1341528.3166290354
sentence	-1341690.4030830674
combine	-1342759.549437635
